MECID_L,Lobbyist First Name,Lobbyist Last Name,Recipient,Principal,Expenditure Type,Expenditure Category,Expenditure Date,Expenditure Amount,Amended,Description,Version From,Version To
L004223,Jessica,Hoey,"Williams,  Sharon  - Employee/Staff (Burnett,  Ingrid )",Missouri Community Action Network,Individual,"Meals, Food, & Beverage",3/26/19,1.17,No,Dessert (one brownie or cookie for each individual) served to the General Assembly and staff on behalf of the Missouri Community Action Network for its 2019 Advocacy Day,1,
L004223,Jessica,Hoey,Entire General Assembly,Missouri Community Action Network,Group,"Meals, Food, & Beverage",3/26/19,350,No,Dessert (one brownie or cookie for each individual) was served to the General Assembly and staff on behalf of the Missouri Community Action Network for our 2019 Advocacy Day.,1,
L004223,Jessica,Hoey,"Lee,  Wayne  - Employee/Staff (Andrews,  Allen )",Missouri Community Action Network,Individual,"Meals, Food, & Beverage",3/26/19,1.17,No,Dessert (one brownie or cookie per person) served to the General Assembly and staff on behalf of the Missouri Community Action Network,1,1
L004223,Jessica,Hoey,"Arnold,  Adam  - Employee/Staff (Walsh,  Gina )",Missouri Community Action Network,Individual,"Meals, Food, & Beverage",3/26/19,1.17,No,Desert (one brownie or cookie per person) served to the General Assembly and staff on behalf of the Missouri Community Action Network,1,
L004223,Jessica,Hoey,"Lee,  Wayne  - Employee/Staff (Andrews,  Allen )",Missouri Community Action Network,Individual,"Meals, Food, & Beverage",3/26/19,0,"Yes - Mr. Lee, who is a lobbyist, mistakenly listed himself as a staff member of Rep. Andrews.",Dessert (one brownie or cookie per person) served to the General Assembly and staff on behalf of the Missouri Community Action Network,2,
L003769,Jerry,Hobbs,"Koenig,  Andrew  - Senator",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",3/27/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Wilhelm,  Daniel  - Employee/Staff (Koenig,  Andrew )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",3/27/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Emery,  Ed  - Senator",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",3/27/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Ahlers,  Stephen  - Employee/Staff (Emery,  Ed )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",3/27/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Granich,  Rose  - Employee/Staff (Emery,  Ed )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",3/27/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Catanzaro,  Frank  - Employee/Staff (Koenig,  Andrew )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",3/27/19,4.99,No,Lunch,1,
L003980,Alex,Scharf,"Reuter,  Renee  - Jefferson County",St. Louis Home Builders Association,Individual,"Meals, Food, & Beverage",3/28/19,13.52,No,,1,1
L003980,Alex,Scharf,"Reuter,  Renee  - Jefferson County",St. Louis Home Builders Association,Individual,"Meals, Food, & Beverage",3/28/19,13.52,Yes - added description,Lunch with Jefferson County Councilwoman Renee Reuter,2,
L004111,Clinton,McBride,"Wood Martin,  Sarah  - City of St. Louis Elect","Laborers' International Union of North America, Local 110",Individual,"Meals, Food, & Beverage",3/28/19,11.28,No,Lunch Meeting,1,
L003201,Carol,Macken,"Schulte,  Troy  - Employee/Staff (James,  Sylvester  'Sly' )",KCP&L,Individual,Entertainment,3/30/19,200,No,Tickets and Parking,1,
L002996,Jay,Hahn,"Riddle,  Jeanie  - Senator",Missouri American Water,Individual,"Meals, Food, & Beverage",4/1/19,2.39,No,Pastry,1,
L002996,Jay,Hahn,"Cottom,  Mary  - Employee/Staff (Riddle,  Jeanie )",Missouri American Water,Individual,"Meals, Food, & Beverage",4/1/19,2.39,No,Pastry,1,
L002996,Jay,Hahn,"Alexander,  Lindsey  - Employee/Staff (Riddle,  Jeanie )",Missouri American Water,Individual,"Meals, Food, & Beverage",4/1/19,2.39,No,Pastry,1,
L000723,Kyna,Iman,Entire General Assembly,Missouri Canoe & Floaters Association,Group,"Meals, Food, & Beverage",4/3/19,424.51,No,ice cream,1,
L190037,Sarah,Ritter,Entire Missouri Senate,Operation Food Search,Group,"Meals, Food, & Beverage",4/3/19,15.79,No,"At our table in the Rotunda, we provide information about Operation Food Search and our nutrition education programs.  We also offer small samples of two of the most popular nutrition education recipes - black bean brownies and turkey tacos.",1,
L190037,Sarah,Ritter,Entire Missouri House,Operation Food Search,Group,"Meals, Food, & Beverage",4/3/19,15.78,No,"At our table in the Rotunda, we provide information about Operation Food Search and our nutrition education programs.  We also offer small samples of two of the most popular nutrition education recipes - black bean brownies and turkey tacos.",1,
L002757,Chris,Pickel,"Butler,  Michael  - City of St. Louis",Chris Pickel,Individual,Entertainment,4/5/19,700,No,Four tickets to St. Louis Cardinals vs. San Diego baseball game.,1,
L003762,Lori,Hoelscher,"Olivarri,  John  - City of Osage Beach","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/8/19,52.5,No,Cardinal Baseball game ticketx2,1,
L003762,Lori,Hoelscher,"Olivarri,  Carole  - Spouse/Child (Olivarri,  John  )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/8/19,52.5,No,Cardinal Baseball game ticketx2,1,
L003762,Lori,Hoelscher,"Olivarri,  John  - City of Osage Beach","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/8/19,80.76,No,Food and beverage at baseball game,1,
L003762,Lori,Hoelscher,"Olivarri,  Carole  - Spouse/Child (Olivarri,  John  )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/8/19,80.76,No,Food and beverage at baseball game,1,
L190055,Zachary,Monroe,"Fitzwater,  Travis  - Representative","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/8/19,5,No,Callaway Tour refreshments,1,
L190055,Zachary,Monroe,"Pierson,  Tommie  - Representative","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/8/19,5,No,Callaway Tour refreshments,1,
L190055,Zachary,Monroe,"Roberts,  Steven  - Representative","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/8/19,5,No,Callaway Tour refreshments,1,
L190055,Zachary,Monroe,"Simmons,  John  - Representative","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/8/19,5,No,Callaway Tour refreshments,1,
L190118,Patrick,Brown,"Boyd,  Jared  - Employee/Staff (Jones,  Tishaura  O )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/9/19,52.5,No,Baseball ticket,1,
L190118,Patrick,Brown,"Gaskill-Clemons,  Robert  - Employee/Staff (Krewson,  Lyda )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/9/19,105,No,2 baseball tickets with guest,1,
L190118,Patrick,Brown,"Ingrassia,  Christine  - City of St. Louis Elect","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/9/19,52.5,No,3 baseball tickets,1,
L190118,Patrick,Brown,"Ingrassia,  Jack  - Spouse/Child (Ingrassia,  Christine )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/9/19,52.5,No,3 baseball tickets,1,
L190118,Patrick,Brown,"Ingrassia,  Evan  - Spouse/Child (Ingrassia,  Christine )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/9/19,52.5,No,3 baseball tickets,1,
L190118,Patrick,Brown,"Williams,  Otis  - Employee/Staff (Krewson,  Lyda )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/9/19,105,No,2 baseball tickets with guest,1,
L190118,Patrick,Brown,"Wilson,  Jamie  - Employee/Staff (Krewson,  Lyda )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/9/19,52.5,No,baseball ticket,1,
L190118,Patrick,Brown,"DeCarlo,  Justin  - Employee/Staff (Krewson,  Lyda )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/9/19,52.5,No,baseball ticket,1,
L190118,Patrick,Brown,"Boyd,  Jared  - Employee/Staff (Jones,  Tishaura  O )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/9/19,76.84,No,Food at ballgame,1,
L190118,Patrick,Brown,"Gaskill-Clemons,  Robert  - Employee/Staff (Krewson,  Lyda )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/9/19,76.84,No,food at ballgame,1,
L190118,Patrick,Brown,"Ingrassia,  Christine  - City of St. Louis Elect","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/9/19,76.84,No,Food at ballgame,1,
L190118,Patrick,Brown,"Ingrassia,  Jack  - Spouse/Child (Ingrassia,  Christine )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/9/19,76.84,No,Food at ballgame,1,
L190118,Patrick,Brown,"Ingrassia,  Evan  - Spouse/Child (Ingrassia,  Christine )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/9/19,76.84,No,Food at ballgame,1,
L190118,Patrick,Brown,"Williams,  Otis  - Employee/Staff (Krewson,  Lyda )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/9/19,76.84,No,food at ballgame,1,
L190118,Patrick,Brown,"DeCarlo,  Justin  - Employee/Staff (Krewson,  Lyda )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/9/19,76.84,No,food at ballgame,1,
L190118,Patrick,Brown,"Wilson,  Jamie  - Employee/Staff (Krewson,  Lyda )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/9/19,76.84,No,Food at ballpark,1,
L002757,Chris,Pickel,"Green,  Alan  - Representative",Chris Pickel,Individual,"Meals, Food, & Beverage",4/10/19,4.65,No,Coffee at Starbuck's,1,
L190119,Marco,Tipton,"Schneider,  Thomas  - City of Florissant","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/10/19,52.5,No,Cardinals game,1,
L190119,Marco,Tipton,"Zimmerman,  Matthew  - Employee/Staff (Robinson,  Matthew  )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/10/19,52.5,No,Cardinals ticket,1,
L190119,Marco,Tipton,"Perkins,  Mark  - City of Creve Coeur","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/10/19,52.5,No,Baseball ticket,1,
L190119,Marco,Tipton,"Perkins,  Mark  - City of Creve Coeur","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/10/19,76.84,No,Food at ballgame,1,
L190119,Marco,Tipton,"Schneider,  Thomas  - City of Florissant","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/10/19,76.84,No,Food at ballgame,1,
L190119,Marco,Tipton,"Zimmerman,  Matthew  - Employee/Staff (Robinson,  Matthew  )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/10/19,76.84,No,food at ballgame,1,
L000298,Doug,Galloway,Senate Majority Caucus,Centurylink,Group,"Meals, Food, & Beverage",4/16/19,118.52,No,Dinner,1,
L000723,Kyna,Iman,Entire General Assembly,Missouri Association of Health Underwriters,Group,"Meals, Food, & Beverage",4/16/19,734.6,No,cookies and coffee,1,
L003769,Jerry,Hobbs,"Koenig,  Andrew  - Senator",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",4/17/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Wilhelm,  Daniel  - Employee/Staff (Koenig,  Andrew )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",4/17/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Emery,  Ed  - Senator",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",4/17/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Ahlers,  Stephen  - Employee/Staff (Emery,  Ed )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",4/17/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Granich,  Rose  - Employee/Staff (Emery,  Ed )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",4/17/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Catanzaro,  Frank  - Employee/Staff (Koenig,  Andrew )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",4/17/19,4.99,No,Lunch,1,
L190119,Marco,Tipton,"Harder,  Mark  A  - St. Louis County","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/22/19,51.5,No,Cardinals Ticket,1,1
L190119,Marco,Tipton,"Howard-Grahn,  Chris  - Employee/Staff (Harder,  Mark  A )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/22/19,51.5,No,Cardinals Game,1,1
L190119,Marco,Tipton,"Dimmit,  David  A  - City of Brentwood","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/22/19,51.5,No,Cardinals Game,1,1
L190119,Marco,Tipton,"Lochmoeller,  Steve  - City of Brentwood","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/22/19,51.5,No,Cardinals game,1,1
L190119,Marco,Tipton,"Clancy,  Lisa  - St. Louis County Elect","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/22/19,51.5,No,Cardinals Game,1,1
L190119,Marco,Tipton,"Clancy,  Jeremy  - Spouse/Child (Clancy,  Lisa )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/22/19,51.5,No,Cardinals Game,1,1
L190119,Marco,Tipton,"Nation,  Bob  - City of Chesterfield","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/22/19,51.5,No,Cardinals Game,1,1
L190119,Marco,Tipton,"Nation,  Christopher  - Spouse/Child (Nation,  Bob )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/22/19,51.5,No,Cardinals Game,1,1
L190119,Marco,Tipton,"Clancy,  Lisa  - St. Louis County Elect","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/22/19,65.86,No,Baseball game,1,
L190119,Marco,Tipton,"Clancy,  Jeremy  - Spouse/Child (Clancy,  Lisa )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/22/19,65.86,No,Baseball game,1,
L190119,Marco,Tipton,"Nation,  Bob  - City of Chesterfield","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/22/19,65.86,No,Cardinals Game,1,
L190119,Marco,Tipton,"Nation,  Christopher  - Spouse/Child (Nation,  Bob )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/22/19,65.86,No,Cardinals Game,1,
L190119,Marco,Tipton,"Harder,  Mark  A  - St. Louis County","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/22/19,65.86,No,Cardinals Game,1,
L190119,Marco,Tipton,"Howard-Grahn,  Chris  - Employee/Staff (Harder,  Mark  A )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/22/19,65.86,No,Cardinals game,1,
L190119,Marco,Tipton,"Dimmit,  David  A  - City of Brentwood","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/22/19,65.86,No,Cardinals tickets,1,
L190119,Marco,Tipton,"Lochmoeller,  Steve  - City of Brentwood","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",4/22/19,65.86,No,Cardinals game,1,
L190119,Marco,Tipton,"Harder,  Mark  A  - St. Louis County","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/22/19,52.5,Yes - entered wrong amount,Cardinals Ticket,2,
L190119,Marco,Tipton,"Howard-Grahn,  Chris  - Employee/Staff (Harder,  Mark  A )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/22/19,52.5,Yes - entered wrong amount for ticket,Cardinals Game,2,
L190119,Marco,Tipton,"Dimmit,  David  A  - City of Brentwood","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/22/19,52.5,Yes - entered wrong dollar amount for ticket,Cardinals Game,2,
L190119,Marco,Tipton,"Lochmoeller,  Steve  - City of Brentwood","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/22/19,52.5,Yes - entered wrong dollar amount for ticket,Cardinals game,2,
L190119,Marco,Tipton,"Clancy,  Lisa  - St. Louis County Elect","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/22/19,52.5,Yes - entered wrong dollar amount for ticket,Cardinals Game,2,
L190119,Marco,Tipton,"Clancy,  Jeremy  - Spouse/Child (Clancy,  Lisa )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/22/19,52.5,Yes - entered wrong dollar amount for ticket,Cardinals Game,2,
L190119,Marco,Tipton,"Nation,  Bob  - City of Chesterfield","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/22/19,52.5,Yes - entered wrong dollar amount for ticket,Cardinals Game,2,
L190119,Marco,Tipton,"Nation,  Christopher  - Spouse/Child (Nation,  Bob )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,4/22/19,52.5,Yes - entered wrong dollar amount for ticket,Cardinals Game,2,
L000222,Tom,Crawford,Entire General Assembly,Missouri Trucking Association,Group,"Meals, Food, & Beverage",4/23/19,"2,250.00",No,pie day,1,
L000372,Tracy,Kimberlin,Entire General Assembly,Springfield Convention & Visitors Bureau,Group,"Meals, Food, & Beverage",4/24/19,12,No,Springfield Metro Partnership Legislative Breakfast,1,
L000409,Samuel,Licklider,Entire General Assembly,Missouri Association of Realtors,Group,Entertainment,4/24/19,980,Yes - Operator error,Reception,2,
L001498,Arthur,McClure,Entire General Assembly,City Utilities of Springfield,Group,"Meals, Food, & Beverage",4/24/19,12,"Yes - The MEC computer program indicates I submitted the April and March 2019 (no expenditures) reports on April 10, 2019, which is false--I would have been unable to submit the April report at that time.  Since the report was already there, I merely amended it even though I didn't submit it in the first place.",Springfield Metro Partnership Legislative Breakfast,2,
L001525,Zach,Pollock,Entire General Assembly,Association of Missouri Electric Cooperatives,Group,"Meals, Food, & Beverage",4/24/19,943.8,No,AMEC Anual Fish Fry,1,
L002043,Sandy,Howard,Entire General Assembly,Springfield Area Chamber of Commerce,Group,"Meals, Food, & Beverage",4/24/19,12,No,SMP Breakfast,1,
L002766,Bill,Luetkenhaus,"Bibb,  Nathan  - City of O Fallon",Bill Luetkenhaus,Individual,"Meals, Food, & Beverage",4/24/19,5,No,Meet & Greet,1,
L002766,Bill,Luetkenhaus,"Herweck,  Tom  - City of O Fallon",Bill Luetkenhaus,Individual,"Meals, Food, & Beverage",4/24/19,5,No,Meet & Greet,1,
L002766,Bill,Luetkenhaus,"Hinman,  Dave  - City of O Fallon",Bill Luetkenhaus,Individual,"Meals, Food, & Beverage",4/24/19,5,No,Meet & Greet,1,
L002766,Bill,Luetkenhaus,"Kling,  Dale  - City of O Fallon",Bill Luetkenhaus,Individual,"Meals, Food, & Beverage",4/24/19,5,No,Meet & Greet,1,
L002766,Bill,Luetkenhaus,"Ottomeyer,  Jim  - City of O Fallon",Bill Luetkenhaus,Individual,"Meals, Food, & Beverage",4/24/19,5,No,Meet & Greet,1,
L002766,Bill,Luetkenhaus,"Smith,  Deana  - City of O Fallon",Bill Luetkenhaus,Individual,"Meals, Food, & Beverage",4/24/19,5,No,Meet & Greet,1,
L003606,Ryan,DeBoef,Entire General Assembly,Missouri State University,Group,"Meals, Food, & Beverage",4/24/19,12,Yes - Just received information for filing report,Springfield Metro Partnership Legislative Breakfast,2,
L003694,John,Jungmann,Entire General Assembly,Springfield R-12 Public Schools,Group,"Meals, Food, & Beverage",4/24/19,12,No,Springfield Metro Partnership Legislative Breakfast,1,
L004311,William,Marrs,Entire General Assembly,City of Springfield,Group,"Meals, Food, & Beverage",4/24/19,12,Yes - Recently received reporting information,Springfield Metro Partnership Breakfast,2,
L004311,William,Marrs,Entire General Assembly,Greene County Commission,Group,"Meals, Food, & Beverage",4/24/19,12,Yes - Recently received reporting information,Springfield Metro Partnership Breakfast,2,
L190020,Rebecca,Eichelberger,"Williams,  Sharon  - Employee/Staff (Burnett,  Ingrid )",Association of Missouri Electric Cooperatives,Individual,"Meals, Food, & Beverage",4/24/19,5,Yes - Delayed sign up,AMEC Fish Fry,2,
L190020,Rebecca,Eichelberger,"David,  Linda  - Employee/Staff (Runions,  Joe )",Association of Missouri Electric Cooperatives,Individual,"Meals, Food, & Beverage",4/24/19,5,Yes - Delayed sign up,AMEC Fish Fry,2,
L190020,Rebecca,Eichelberger,"Campbell,  Chase  - Employee/Staff (Basye,  Chuck )",Association of Missouri Electric Cooperatives,Individual,"Meals, Food, & Beverage",4/24/19,5,Yes - Delayed sign up,AMEC Fish Fry,2,
L190020,Rebecca,Eichelberger,"Church,  Evan  - Employee/Staff (Carpenter,  Jon )",Association of Missouri Electric Cooperatives,Individual,"Meals, Food, & Beverage",4/24/19,5,Yes - Delayed sign up,AMEC Fish Fry,2,
L002951,Herb,Kuhn,"Shields,  Charles  - Spouse/Child (Shields,  Brenda )",Missouri Hospital Association,Individual,"Meals, Food, & Beverage",4/26/19,16.4,Yes - Didn’t believe reporting was required until guidance was received from MEC.,"Standard board meeting expenses (meal & mileage) - As CEO of Truman Medical Center, Charles Shields has served on the MHA Board of Trustees as a permanent board member since 2014.",2,
L002951,Herb,Kuhn,"Shields,  Charles  - Spouse/Child (Shields,  Brenda )",Missouri Hospital Association,Individual,Travel,4/26/19,162.4,Yes - Didn’t believe reporting was required until guidance was received from MEC.,"Standard board meeting expenses (meal & mileage) - As CEO of Truman Medical Center, Charles Shields has served on the MHA Board of Trustees as a permanent board member since 2014.",2,
L000298,Doug,Galloway,Entire Missouri Senate,Centurylink,Group,"Meals, Food, & Beverage",4/30/19,85.68,No,reception,1,
L190037,Sarah,Ritter,Entire Missouri Senate,Operation Food Search,Group,"Meals, Food, & Beverage",5/1/19,37.99,No,We set up a table for our monthly day at the Capitol.  We invited all legislators and staff via e-mail.  There were small samples of recipes from our nutrition education team.  We were there to provide general information about summer meals for kids in Missouri.,1,
L190037,Sarah,Ritter,Entire Missouri House,Operation Food Search,Group,"Meals, Food, & Beverage",5/1/19,37.99,No,We set up a table for our monthly day at the Capitol.  We invited all legislators and staff via e-mail.  There were small samples of recipes from our nutrition education team.  We were there to provide general information about summer meals for kids in Missouri.,1,
L190136,Kevin,Roy,Entire Missouri House,Shatterproof,Group,Other,5/2/19,150,No,Email action alert,1,
L190136,Kevin,Roy,Entire Missouri Senate,Shatterproof,Group,Other,5/2/19,150,No,Email action alert,1,
L190136,Kevin,Roy,Entire Missouri House,Shatterproof,Group,Other,5/14/19,150,No,Email action alert,1,
L190136,Kevin,Roy,Entire Missouri Senate,Shatterproof,Group,Other,5/14/19,150,No,Email action alert,1,
L001625,Claudia,Sands,Entire Missouri Senate,Centurylink,Group,"Meals, Food, & Beverage",5/15/19,78.52,No,Ice Cream Reception,1,
L001699,Catina,Shannon,Entire Missouri Senate,"Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Group,"Meals, Food, & Beverage",5/15/19,81.4,No,All Senate,1,
L004311,William,Marrs,Entire General Assembly,Missouri State University,Group,"Meals, Food, & Beverage",5/15/19,187.8,No,"Missouri State University Thank You Meeting-coffee, fruit and donuts",1,
L190136,Kevin,Roy,Entire Missouri House,Shatterproof,Group,Other,5/20/19,150,No,Email action alert,1,
L190136,Kevin,Roy,Entire Missouri Senate,Shatterproof,Group,Other,5/20/19,150,No,Email action alert,1,
L004111,Clinton,McBride,"Waller,  Ken  - Jefferson County","Laborers' International Union of North America, Local 110",Individual,"Meals, Food, & Beverage",5/21/19,13.65,No,Lunch meeting,1,
L002384,Mike,Kearney,"Hoskins,  Theodore  - City of Berkeley","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,5/22/19,170,No,Cardinals vs Royals National Car Rental Club 2 tickets,1,
L002384,Mike,Kearney,"Hoskins,  Lee Etta  - Spouse/Child (Hoskins,  Theodore  )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,5/22/19,170,No,Cardinals vs Royals National Car Rental Club 2 tickets,1,
L003076,Emily,Schwartze Post,"Pagano,  Len  - City of St. Peters",St. Louis Home Builders Association,Individual,"Meals, Food, & Beverage",5/22/19,85,No,BUILD St. Louis Spring Gala - one ticket,1,
L003076,Emily,Schwartze Post,"Glantz,  Barry  - City of Creve Coeur",St. Louis Home Builders Association,Individual,"Meals, Food, & Beverage",5/22/19,85,No,BUILD St. Louis Spring Gala - one ticket,1,
L001699,Catina,Shannon,"Walton Gray,  Rochelle  - St. Louis County","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",5/23/19,256,No,,1,
L190136,Kevin,Roy,Entire Missouri House,Shatterproof,Group,Other,5/28/19,150,No,Email action alert,1,
L190136,Kevin,Roy,Entire Missouri Senate,Shatterproof,Group,Other,5/28/19,150,No,Email action alert,1,
L002951,Herb,Kuhn,"Shields,  Charles  - Spouse/Child (Shields,  Brenda )",Missouri Hospital Association,Individual,"Meals, Food, & Beverage",6/6/19,245.87,Yes - Didn’t believe reporting was required until guidance was received from MEC.,"Standard board meeting and retreat expenses - As CEO of Truman Medical Center, Charles Shields has served on the MHA Board of Trustees as a permanent board member since 2014.",2,
L001615,Kelvin,Simmons,"Barnes,  Lee  - City of Kansas City",Kansas City Zoo,Individual,Entertainment,6/7/19,150,No,"2 tickets, 2019 Jazzoo Event",1,
L001615,Kelvin,Simmons,"Anderson,  Jalen  - Jackson County",Kansas City Zoo,Individual,Entertainment,6/7/19,150,No,"2 tickets, 2019 Jazzoo Event",1,
L001615,Kelvin,Simmons,"Burnett,  Scott  - Jackson County",Kansas City Zoo,Individual,Entertainment,6/7/19,150,No,2 2019 Jazzo event tickets,1,
L001615,Kelvin,Simmons,"Lucas,  Quinton  - City of Kansas City",Kansas City Zoo,Individual,Entertainment,6/7/19,150,No,2 tickets - 2019 Jazoo Event,1,
L001615,Kelvin,Simmons,"Schulte,  Troy  - Employee/Staff (James,  Sylvester  'Sly' )",Kansas City Zoo,Individual,Entertainment,6/7/19,150,No,"2 tickets, 2019 Jazzoo event",1,
